Designator,Footprint,Quantity,Value,LCSC Part #
"J101, J102, J103, J104, J105, J106, J107, J108, J109, J110, J111, J112, J113, J114, J115, J116, J117, J118, J119, J120",CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02,20,Conn_02x35_Counter_Clockwise_MountingPin,
"U102, U103, U104, U105, U106, U107, U108, U109, U110, U111, U112, U113, U114, U115, U116, U117, U118, U119, U120, U121",waferspace_default_padring_v0.2,20,~,
