pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
183.365,-79.855,-90.0,bottom,J101,,,CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02,Conn_02x35_Counter_Clockwise_MountingPin,smt
183.355,-79.885,0.0,top,U102,,,waferspace_default_padring_v0.2,~,smt
